Model Names,num_units,dropout,optimizer,learning_rate,IMAGE_SIZE,BATCH_SIZE,DATASET_SIZE,MAX_EPOCHS,K_FOLDS,Accuracy,K_accuracy,Precision,Recall,f1 Score,True Negatives, False Positives,False Negatives,True Positives,Training Time
"['model-checkpoints/AlexNet-Binary-Fold-0-20220321-121232.h5', 'model-checkpoints/AlexNet-Binary-Fold-1-20220321-122321.h5', 'model-checkpoints/AlexNet-Binary-Fold-2-20220321-122831.h5', 'model-checkpoints/AlexNet-Binary-Fold-3-20220321-124010.h5', 'model-checkpoints/AlexNet-Binary-Fold-4-20220321-124659.h5']",512,0.2,adam,0.0005,224,32,1500,20,5,0.653,0.652999997138977,0.7340987445138668,0.504,0.5428146576252674,160,39,99,100,495.3739619413999
"['model-checkpoints/AlexNet-Binary-Fold-0-20220321-125024.h5', 'model-checkpoints/AlexNet-Binary-Fold-1-20220321-125720.h5', 'model-checkpoints/AlexNet-Binary-Fold-2-20220321-130305.h5', 'model-checkpoints/AlexNet-Binary-Fold-3-20220321-130812.h5', 'model-checkpoints/AlexNet-Binary-Fold-4-20220321-131955.h5']",512,0.2,adam,0.001,224,32,1500,20,5,0.643,0.6429999887943267,0.7652226143891507,0.422,0.5330025683276095,172,27,115,84,536.8907769934
"['model-checkpoints/AlexNet-Binary-Fold-0-20220321-133133.h5', 'model-checkpoints/AlexNet-Binary-Fold-1-20220321-134156.h5', 'model-checkpoints/AlexNet-Binary-Fold-2-20220321-135245.h5', 'model-checkpoints/AlexNet-Binary-Fold-3-20220321-140333.h5', 'model-checkpoints/AlexNet-Binary-Fold-4-20220321-141317.h5']",512,0.2,sgd,0.0005,224,32,1500,20,5,0.638,0.6379999995231629,0.7470081067286424,0.421,0.5326147953765286,171,29,115,84,694.7490419989999
"['model-checkpoints/AlexNet-Binary-Fold-0-20220321-142331.h5', 'model-checkpoints/AlexNet-Binary-Fold-1-20220321-143413.h5', 'model-checkpoints/AlexNet-Binary-Fold-2-20220321-144501.h5', 'model-checkpoints/AlexNet-Binary-Fold-3-20220321-145548.h5', 'model-checkpoints/AlexNet-Binary-Fold-4-20220321-150637.h5']",512,0.2,sgd,0.001,224,32,1500,20,5,0.6895,0.6895000100135803,0.8371600499491834,0.47100000000000003,0.6016590305695368,181,18,105,94,719.5803848912008
"['model-checkpoints/AlexNet-Binary-Fold-0-20220321-151724.h5', 'model-checkpoints/AlexNet-Binary-Fold-1-20220321-152159.h5', 'model-checkpoints/AlexNet-Binary-Fold-2-20220321-152630.h5', 'model-checkpoints/AlexNet-Binary-Fold-3-20220321-153208.h5', 'model-checkpoints/AlexNet-Binary-Fold-4-20220321-153844.h5']",512,0.4,adam,0.0005,224,32,1500,20,5,0.5435,0.5435000002384186,0.5309517115906415,0.39999999999999997,0.4429278648074466,137,62,120,80,366.49954998920003
"['model-checkpoints/AlexNet-Binary-Fold-0-20220321-154504.h5', 'model-checkpoints/AlexNet-Binary-Fold-1-20220321-155656.h5', 'model-checkpoints/AlexNet-Binary-Fold-2-20220321-160841.h5', 'model-checkpoints/AlexNet-Binary-Fold-3-20220321-161400.h5', 'model-checkpoints/AlexNet-Binary-Fold-4-20220321-161910.h5']",512,0.4,adam,0.001,224,32,1500,20,5,0.626,0.6259999930858612,0.6266191371846799,0.499,0.539218064699766,150,49,100,99,509.3118772262002
"['model-checkpoints/AlexNet-Binary-Fold-0-20220321-162420.h5', 'model-checkpoints/AlexNet-Binary-Fold-1-20220321-163326.h5', 'model-checkpoints/AlexNet-Binary-Fold-2-20220321-164408.h5', 'model-checkpoints/AlexNet-Binary-Fold-3-20220321-165502.h5', 'model-checkpoints/AlexNet-Binary-Fold-4-20220321-170553.h5']",512,0.4,sgd,0.0005,224,32,1500,20,5,0.5855,0.5855000138282775,0.6223968124240273,0.444,0.5142798410477722,145,54,111,88,691.2556183114
"['model-checkpoints/AlexNet-Binary-Fold-0-20220321-171606.h5', 'model-checkpoints/AlexNet-Binary-Fold-1-20220321-172652.h5', 'model-checkpoints/AlexNet-Binary-Fold-2-20220321-173749.h5', 'model-checkpoints/AlexNet-Binary-Fold-3-20220321-174851.h5', 'model-checkpoints/AlexNet-Binary-Fold-4-20220321-175948.h5']",512,0.4,sgd,0.001,224,32,1500,20,5,0.6035,0.6035000085830688,0.6575072739644485,0.435,0.519925762375647,154,45,113,87,709.9958407318002
"['model-checkpoints/AlexNet-Binary-Fold-0-20220321-180919.h5', 'model-checkpoints/AlexNet-Binary-Fold-1-20220321-181649.h5', 'model-checkpoints/AlexNet-Binary-Fold-2-20220321-182237.h5', 'model-checkpoints/AlexNet-Binary-Fold-3-20220321-183205.h5', 'model-checkpoints/AlexNet-Binary-Fold-4-20220321-183533.h5']",1024,0.2,adam,0.0005,224,32,1500,20,5,0.604,0.6040000021457672,0.7089696969696969,0.386,0.48305072540506194,164,35,122,77,437.17720042260044
"['model-checkpoints/AlexNet-Binary-Fold-0-20220321-184228.h5', 'model-checkpoints/AlexNet-Binary-Fold-1-20220321-184928.h5', 'model-checkpoints/AlexNet-Binary-Fold-2-20220321-185742.h5', 'model-checkpoints/AlexNet-Binary-Fold-3-20220321-190338.h5', 'model-checkpoints/AlexNet-Binary-Fold-4-20220321-190927.h5']",1024,0.2,adam,0.001,224,32,1500,20,5,0.6015,0.6015000104904175,0.6796104214704035,0.374,0.46682616047565373,165,34,125,74,401.0906697428007
