Model Names,num_units,dropout,optimizer,learning_rate,IMAGE_SIZE,BATCH_SIZE,DATASET_SIZE,MAX_EPOCHS,K_FOLDS,Accuracy,K_accuracy,Precision,Recall,f1 Score,True Negatives, False Positives,False Negatives,True Positives,Training Time
"['model-checkpoints/ConvNet-Binary-Fold-0-20220314-152600.h5', 'model-checkpoints/ConvNet-Binary-Fold-1-20220314-152844.h5', 'model-checkpoints/ConvNet-Binary-Fold-2-20220314-153322.h5', 'model-checkpoints/ConvNet-Binary-Fold-3-20220314-153800.h5', 'model-checkpoints/ConvNet-Binary-Fold-4-20220314-154544.h5']",64,0.2,adam,0.0005,224,32,1500,20,5,0.745,0.7449999928474427,0.6535539640017252,0.633,0.6427689267245055,171,28,73,126,295.57853905499996
"['model-checkpoints/ConvNet-Binary-Fold-0-20220314-154850.h5', 'model-checkpoints/ConvNet-Binary-Fold-1-20220314-155126.h5', 'model-checkpoints/ConvNet-Binary-Fold-2-20220314-155635.h5', 'model-checkpoints/ConvNet-Binary-Fold-3-20220314-155840.h5', 'model-checkpoints/ConvNet-Binary-Fold-4-20220314-160901.h5']",64,0.2,adam,0.001,224,32,1500,20,5,0.627,0.6270000100135803,0.6318385970976722,0.662,0.6201932190180316,118,81,67,132,288.78647530380005
"['model-checkpoints/ConvNet-Binary-Fold-0-20220314-161104.h5', 'model-checkpoints/ConvNet-Binary-Fold-1-20220314-161541.h5', 'model-checkpoints/ConvNet-Binary-Fold-2-20220314-162050.h5', 'model-checkpoints/ConvNet-Binary-Fold-3-20220314-162759.h5', 'model-checkpoints/ConvNet-Binary-Fold-4-20220314-163510.h5']",64,0.2,rmsprop,0.0005,224,32,1500,20,5,0.7875,0.7875,0.8012086790643459,0.773,0.7816618996054158,160,39,45,154,367.3780385935999
"['model-checkpoints/ConvNet-Binary-Fold-0-20220314-163916.h5', 'model-checkpoints/ConvNet-Binary-Fold-1-20220314-164452.h5', 'model-checkpoints/ConvNet-Binary-Fold-2-20220314-165028.h5', 'model-checkpoints/ConvNet-Binary-Fold-3-20220314-165636.h5', 'model-checkpoints/ConvNet-Binary-Fold-4-20220314-165840.h5']",64,0.2,rmsprop,0.001,224,32,1500,20,5,0.6935,0.6935000061988831,0.5779832687380478,0.731,0.632657270818868,131,68,53,146,332.3758518068
"['model-checkpoints/ConvNet-Binary-Fold-0-20220314-170446.h5', 'model-checkpoints/ConvNet-Binary-Fold-1-20220314-170749.h5', 'model-checkpoints/ConvNet-Binary-Fold-2-20220314-171800.h5', 'model-checkpoints/ConvNet-Binary-Fold-3-20220314-172337.h5', 'model-checkpoints/ConvNet-Binary-Fold-4-20220314-172612.h5']",64,0.5,adam,0.0005,224,32,1500,20,5,0.6105,0.6105000019073487,0.4663333333333333,0.448,0.4136060606060606,154,45,110,89,305.4140680117998
"['model-checkpoints/ConvNet-Binary-Fold-0-20220314-172816.h5', 'model-checkpoints/ConvNet-Binary-Fold-1-20220314-173120.h5', 'model-checkpoints/ConvNet-Binary-Fold-2-20220314-173322.h5', 'model-checkpoints/ConvNet-Binary-Fold-3-20220314-174001.h5', 'model-checkpoints/ConvNet-Binary-Fold-4-20220314-174237.h5']",64,0.5,adam,0.001,224,32,1500,20,5,0.5635,0.5634999990463256,0.5517308777169404,0.394,0.36656245512364916,146,53,121,78,219.93533145639995
"['model-checkpoints/ConvNet-Binary-Fold-0-20220314-174512.h5', 'model-checkpoints/ConvNet-Binary-Fold-1-20220314-175053.h5', 'model-checkpoints/ConvNet-Binary-Fold-2-20220314-175358.h5', 'model-checkpoints/ConvNet-Binary-Fold-3-20220314-175632.h5', 'model-checkpoints/ConvNet-Binary-Fold-4-20220314-180339.h5']",64,0.5,rmsprop,0.0005,224,32,1500,20,5,0.6895,0.6894999980926514,0.6311868797257414,0.517,0.5293640520903958,172,27,96,103,372.0059881027999
"['model-checkpoints/ConvNet-Binary-Fold-0-20220314-181347.h5', 'model-checkpoints/ConvNet-Binary-Fold-1-20220314-181620.h5', 'model-checkpoints/ConvNet-Binary-Fold-2-20220314-182125.h5', 'model-checkpoints/ConvNet-Binary-Fold-3-20220314-182329.h5', 'model-checkpoints/ConvNet-Binary-Fold-4-20220314-182602.h5']",64,0.5,rmsprop,0.001,224,32,1500,20,5,0.593,0.5930000066757202,0.39671799585913986,0.414,0.40273844834397254,154,45,117,82,206.44419951179952
"['model-checkpoints/ConvNet-Binary-Fold-0-20220314-182937.h5', 'model-checkpoints/ConvNet-Binary-Fold-1-20220314-183641.h5', 'model-checkpoints/ConvNet-Binary-Fold-2-20220314-184117.h5', 'model-checkpoints/ConvNet-Binary-Fold-3-20220314-184724.h5', 'model-checkpoints/ConvNet-Binary-Fold-4-20220314-185130.h5']",128,0.2,adam,0.0005,224,32,1500,20,5,0.7885,0.7884999871253967,0.8346826664529291,0.723,0.7701841364662153,170,29,55,144,337.56026967720027
"['model-checkpoints/ConvNet-Binary-Fold-0-20220314-185535.h5', 'model-checkpoints/ConvNet-Binary-Fold-1-20220314-190010.h5', 'model-checkpoints/ConvNet-Binary-Fold-2-20220314-190516.h5', 'model-checkpoints/ConvNet-Binary-Fold-3-20220314-190719.h5', 'model-checkpoints/ConvNet-Binary-Fold-4-20220314-191728.h5']",128,0.2,adam,0.001,224,32,1500,20,5,0.69,0.6899999976158142,0.7110503150457875,0.598,0.6327489594160869,156,43,80,119,349.92903153699956
