Model Names,num_units,dropout,optimizer,learning_rate,IMAGE_SIZE,BATCH_SIZE,DATASET_SIZE,MAX_EPOCHS,K_FOLDS,Accuracy,K_accuracy,Precision,Recall,f1 Score,True Negatives, False Positives,False Negatives,True Positives,Training Time
"['trained classifiers/Xception-Binary-Fold-0-20220311-160329.h5', 'trained classifiers/Xception-Binary-Fold-1-20220311-162222.h5', 'trained classifiers/Xception-Binary-Fold-2-20220311-163312.h5', 'trained classifiers/Xception-Binary-Fold-3-20220311-165108.h5', 'trained classifiers/Xception-Binary-Fold-4-20220311-165609.h5']",64,0.1,adam,0.0005,224,32,1500,20,5,0.8130000000000001,0.8129999995231628,0.9823962247829144,0.637,0.7294430639592756,197,2,72,127,951.4801052274
"['trained classifiers/Xception-Binary-Fold-0-20220311-170403.h5', 'trained classifiers/Xception-Binary-Fold-1-20220311-170957.h5', 'trained classifiers/Xception-Binary-Fold-2-20220311-172548.h5', 'trained classifiers/Xception-Binary-Fold-3-20220311-173835.h5', 'trained classifiers/Xception-Binary-Fold-4-20220311-174917.h5']",64,0.1,adam,0.001,224,32,1500,20,5,0.918,0.9180000066757202,0.9915947335406098,0.844,0.895145872420221,198,1,31,168,914.7840716638002
"['trained classifiers/Xception-Binary-Fold-0-20220311-180204.h5', 'trained classifiers/Xception-Binary-Fold-1-20220311-181836.h5', 'trained classifiers/Xception-Binary-Fold-2-20220311-182235.h5', 'trained classifiers/Xception-Binary-Fold-3-20220311-182729.h5', 'trained classifiers/Xception-Binary-Fold-4-20220311-184703.h5']",64,0.1,sgd,0.0005,224,32,1500,20,5,0.5915,0.5915000081062317,0.6213546187705852,0.33899999999999997,0.4247927723011281,168,31,132,67,1020.2456655357997
"['trained classifiers/Xception-Binary-Fold-0-20220311-190629.h5', 'trained classifiers/Xception-Binary-Fold-1-20220311-192554.h5', 'trained classifiers/Xception-Binary-Fold-2-20220311-194532.h5', 'trained classifiers/Xception-Binary-Fold-3-20220311-200516.h5', 'trained classifiers/Xception-Binary-Fold-4-20220311-202513.h5']",64,0.1,sgd,0.001,224,32,1500,20,5,0.6975,0.6974999904632568,0.6642977011282543,0.496,0.5674464836274097,179,20,100,99,1308.8497085221995
"['trained classifiers/Xception-Binary-Fold-0-20220311-202911.h5', 'trained classifiers/Xception-Binary-Fold-1-20220311-203318.h5', 'trained classifiers/Xception-Binary-Fold-2-20220311-205057.h5', 'trained classifiers/Xception-Binary-Fold-3-20220311-211050.h5', 'trained classifiers/Xception-Binary-Fold-4-20220311-211654.h5']",64,0.2,adam,0.0005,224,32,1500,20,5,0.816,0.8160000085830689,0.9912034868809866,0.64,0.7135335109978915,198,1,72,128,1069.9136359336007
"['trained classifiers/Xception-Binary-Fold-0-20220311-213700.h5', 'trained classifiers/Xception-Binary-Fold-1-20220311-214707.h5', 'trained classifiers/Xception-Binary-Fold-2-20220311-215605.h5', 'trained classifiers/Xception-Binary-Fold-3-20220311-220950.h5', 'trained classifiers/Xception-Binary-Fold-4-20220311-222132.h5']",64,0.2,adam,0.001,224,32,1500,20,5,0.963,0.9629999995231628,0.9895754364770006,0.9359999999999999,0.9619165528276782,198,2,12,187,955.2427188705994
"['trained classifiers/Xception-Binary-Fold-0-20220311-223718.h5', 'trained classifiers/Xception-Binary-Fold-1-20220311-225650.h5', 'trained classifiers/Xception-Binary-Fold-2-20220311-231627.h5', 'trained classifiers/Xception-Binary-Fold-3-20220311-233603.h5', 'trained classifiers/Xception-Binary-Fold-4-20220311-235141.h5']",64,0.2,sgd,0.0005,224,32,1500,20,5,0.636,0.6360000133514404,0.6371602977358373,0.372,0.46563759388372594,180,20,125,74,1247.142091900599
"['trained classifiers/Xception-Binary-Fold-0-20220311-235537.h5', 'trained classifiers/Xception-Binary-Fold-1-20220312-001458.h5', 'trained classifiers/Xception-Binary-Fold-2-20220312-003359.h5', 'trained classifiers/Xception-Binary-Fold-3-20220312-005310.h5', 'trained classifiers/Xception-Binary-Fold-4-20220312-011229.h5']",64,0.2,sgd,0.001,224,32,1500,20,5,0.7705,0.7704999923706055,0.8680154999472733,0.638,0.7330575833173413,180,19,72,127,1505.038419493199
"['trained classifiers/Xception-Binary-Fold-0-20220312-013004.h5', 'trained classifiers/Xception-Binary-Fold-1-20220312-014927.h5', 'trained classifiers/Xception-Binary-Fold-2-20220312-020012.h5', 'trained classifiers/Xception-Binary-Fold-3-20220312-021647.h5', 'trained classifiers/Xception-Binary-Fold-4-20220312-023029.h5']",128,0.1,adam,0.0005,224,32,1500,20,5,0.899,0.8990000009536743,0.9892303959456247,0.808,0.8768091536373898,198,2,38,161,1063.293401050799
"['trained classifiers/Xception-Binary-Fold-0-20220312-023722.h5', 'trained classifiers/Xception-Binary-Fold-1-20220312-025710.h5', 'trained classifiers/Xception-Binary-Fold-2-20220312-030702.h5', 'trained classifiers/Xception-Binary-Fold-3-20220312-032151.h5', 'trained classifiers/Xception-Binary-Fold-4-20220312-033944.h5']",128,0.1,adam,0.001,224,32,1500,20,5,0.978,0.978000009059906,0.9918711347416928,0.964,0.9775418293330179,198,1,7,192,1202.6285576531998
