Model Names,num_units,dropout,optimizer,learning_rate,IMAGE_SIZE,BATCH_SIZE,DATASET_SIZE,MAX_EPOCHS,K_FOLDS,Accuracy,K_accuracy,Precision,Recall,f1 Score,True Negatives, False Positives,False Negatives,True Positives,Training Time
"['model-checkpoints/DenseNet201-Binary-Fold-0-20220310-114717.h5', 'model-checkpoints/DenseNet201-Binary-Fold-1-20220310-115552.h5', 'model-checkpoints/DenseNet201-Binary-Fold-2-20220310-120919.h5', 'model-checkpoints/DenseNet201-Binary-Fold-3-20220310-122002.h5', 'model-checkpoints/DenseNet201-Binary-Fold-4-20220310-123002.h5']",64,0.1,adam,0.0005,224,32,1500,20,5,0.969,0.9690000057220459,0.9772451341999284,0.961,0.9684513401146392,195,4,7,192,869.749030713
"['model-checkpoints/DenseNet201-Binary-Fold-0-20220310-123814.h5', 'model-checkpoints/DenseNet201-Binary-Fold-1-20220310-125547.h5', 'model-checkpoints/DenseNet201-Binary-Fold-2-20220310-130452.h5', 'model-checkpoints/DenseNet201-Binary-Fold-3-20220310-131348.h5', 'model-checkpoints/DenseNet201-Binary-Fold-4-20220310-132043.h5']",64,0.1,adam,0.001,224,32,1500,20,5,0.896,0.8960000038146972,0.9354664205153569,0.855,0.8899912347811427,187,12,29,171,858.3724725668002
"['model-checkpoints/DenseNet201-Binary-Fold-0-20220310-132856.h5', 'model-checkpoints/DenseNet201-Binary-Fold-1-20220310-134102.h5', 'model-checkpoints/DenseNet201-Binary-Fold-2-20220310-134859.h5', 'model-checkpoints/DenseNet201-Binary-Fold-3-20220310-140200.h5', 'model-checkpoints/DenseNet201-Binary-Fold-4-20220310-141241.h5']",64,0.1,sgd,0.0005,224,32,1500,20,5,0.8574999999999999,0.8574999928474426,0.8792960802280974,0.8340000000000001,0.8540710236779744,176,23,33,166,1056.2099440717998
"['model-checkpoints/DenseNet201-Binary-Fold-0-20220310-142958.h5', 'model-checkpoints/DenseNet201-Binary-Fold-1-20220310-143757.h5', 'model-checkpoints/DenseNet201-Binary-Fold-2-20220310-145516.h5', 'model-checkpoints/DenseNet201-Binary-Fold-3-20220310-150639.h5', 'model-checkpoints/DenseNet201-Binary-Fold-4-20220310-151620.h5']",64,0.1,sgd,0.001,224,32,1500,20,5,0.879,0.8790000081062317,0.91410914363608,0.837,0.873242605329805,184,15,32,167,1025.9811328417993
"['model-checkpoints/DenseNet201-Binary-Fold-0-20220310-152921.h5', 'model-checkpoints/DenseNet201-Binary-Fold-1-20220310-153908.h5', 'model-checkpoints/DenseNet201-Binary-Fold-2-20220310-154630.h5', 'model-checkpoints/DenseNet201-Binary-Fold-3-20220310-155808.h5', 'model-checkpoints/DenseNet201-Binary-Fold-4-20220310-160808.h5']",64,0.2,adam,0.0005,224,32,1500,20,5,0.938,0.9379999995231628,0.982547222576395,0.893,0.9288299424493833,196,3,21,178,759.6662438024002
"['model-checkpoints/DenseNet201-Binary-Fold-0-20220310-161349.h5', 'model-checkpoints/DenseNet201-Binary-Fold-1-20220310-162803.h5', 'model-checkpoints/DenseNet201-Binary-Fold-2-20220310-164539.h5', 'model-checkpoints/DenseNet201-Binary-Fold-3-20220310-165854.h5', 'model-checkpoints/DenseNet201-Binary-Fold-4-20220310-170938.h5']",64,0.2,adam,0.001,224,32,1500,20,5,0.965,0.9649999976158142,0.97391050644752,0.956,0.9646874174690669,194,5,8,191,1120.2840900852002
"['model-checkpoints/DenseNet201-Binary-Fold-0-20220310-171840.h5', 'model-checkpoints/DenseNet201-Binary-Fold-1-20220310-172917.h5', 'model-checkpoints/DenseNet201-Binary-Fold-2-20220310-173859.h5', 'model-checkpoints/DenseNet201-Binary-Fold-3-20220310-175203.h5', 'model-checkpoints/DenseNet201-Binary-Fold-4-20220310-180326.h5']",64,0.2,sgd,0.0005,224,32,1500,20,5,0.862,0.8619999885559082,0.9117834840968777,0.8049999999999999,0.8515953040845388,183,16,39,161,1013.4524668390004
"['model-checkpoints/DenseNet201-Binary-Fold-0-20220310-181719.h5', 'model-checkpoints/DenseNet201-Binary-Fold-1-20220310-182701.h5', 'model-checkpoints/DenseNet201-Binary-Fold-2-20220310-183731.h5', 'model-checkpoints/DenseNet201-Binary-Fold-3-20220310-184934.h5', 'model-checkpoints/DenseNet201-Binary-Fold-4-20220310-185823.h5']",64,0.2,sgd,0.001,224,32,1500,20,5,0.895,0.8949999928474426,0.9238852614272244,0.862,0.8909355251246831,185,14,27,172,993.4766906898018
"['model-checkpoints/DenseNet201-Binary-Fold-0-20220310-191453.h5', 'model-checkpoints/DenseNet201-Binary-Fold-1-20220310-192312.h5', 'model-checkpoints/DenseNet201-Binary-Fold-2-20220310-193306.h5', 'model-checkpoints/DenseNet201-Binary-Fold-3-20220310-194028.h5', 'model-checkpoints/DenseNet201-Binary-Fold-4-20220310-195119.h5']",128,0.1,adam,0.0005,224,32,1500,20,5,0.9745,0.9745000123977661,0.9900608640070644,0.959,0.9737736940449879,198,2,8,191,762.5782714383982
"['model-checkpoints/DenseNet201-Binary-Fold-0-20220310-195931.h5', 'model-checkpoints/DenseNet201-Binary-Fold-1-20220310-201020.h5', 'model-checkpoints/DenseNet201-Binary-Fold-2-20220310-201700.h5', 'model-checkpoints/DenseNet201-Binary-Fold-3-20220310-202332.h5', 'model-checkpoints/DenseNet201-Binary-Fold-4-20220310-203137.h5']",128,0.1,adam,0.001,224,32,1500,20,5,0.9255,0.9254999995231629,0.9342956565232414,0.926,0.9276782382223319,185,15,14,185,731.7496214933999
"['model-checkpoints/DenseNet201-Binary-Fold-0-20220310-204222.h5', 'model-checkpoints/DenseNet201-Binary-Fold-1-20220310-205616.h5', 'model-checkpoints/DenseNet201-Binary-Fold-2-20220310-210739.h5', 'model-checkpoints/DenseNet201-Binary-Fold-3-20220310-211625.h5', 'model-checkpoints/DenseNet201-Binary-Fold-4-20220310-213211.h5']",128,0.1,sgd,0.0005,224,32,1500,20,5,0.852,0.8520000100135803,0.8777483391582731,0.818,0.8463202141302986,177,22,36,163,1060.5967243894017
"['model-checkpoints/DenseNet201-Binary-Fold-0-20220310-214337.h5', 'model-checkpoints/DenseNet201-Binary-Fold-1-20220310-215409.h5', 'model-checkpoints/DenseNet201-Binary-Fold-2-20220310-220353.h5', 'model-checkpoints/DenseNet201-Binary-Fold-3-20220310-221340.h5', 'model-checkpoints/DenseNet201-Binary-Fold-4-20220310-222824.h5']",128,0.1,sgd,0.001,224,32,1500,20,5,0.8825,0.8824999928474426,0.9157357503431983,0.843,0.8770300295827386,184,15,31,168,959.6493603572002
"['model-checkpoints/DenseNet201-Binary-Fold-0-20220310-223853.h5', 'model-checkpoints/DenseNet201-Binary-Fold-1-20220310-224934.h5', 'model-checkpoints/DenseNet201-Binary-Fold-2-20220310-225330.h5', 'model-checkpoints/DenseNet201-Binary-Fold-3-20220310-230419.h5', 'model-checkpoints/DenseNet201-Binary-Fold-4-20220310-231601.h5']",128,0.2,adam,0.0005,224,32,1500,20,5,0.9555,0.9555000185966491,0.972159786179323,0.9369999999999999,0.9530152254540722,194,5,12,187,767.9890375992006
"['model-checkpoints/DenseNet201-Binary-Fold-0-20220310-232325.h5', 'model-checkpoints/DenseNet201-Binary-Fold-1-20220310-233418.h5', 'model-checkpoints/DenseNet201-Binary-Fold-2-20220310-234235.h5', 'model-checkpoints/DenseNet201-Binary-Fold-3-20220310-235239.h5', 'model-checkpoints/DenseNet201-Binary-Fold-4-20220311-000137.h5']",128,0.2,adam,0.001,224,32,1500,20,5,0.956,0.9559999942779541,0.9593721581477376,0.953,0.9556877563371337,191,8,9,190,843.1434706072002
"['model-checkpoints/DenseNet201-Binary-Fold-0-20220311-001228.h5', 'model-checkpoints/DenseNet201-Binary-Fold-1-20220311-002213.h5', 'model-checkpoints/DenseNet201-Binary-Fold-2-20220311-003930.h5', 'model-checkpoints/DenseNet201-Binary-Fold-3-20220311-005107.h5', 'model-checkpoints/DenseNet201-Binary-Fold-4-20220311-010046.h5']",128,0.2,sgd,0.0005,224,32,1500,20,5,0.846,0.8459999918937683,0.8582885478138332,0.826,0.840139552552584,173,26,34,165,1023.5374726708033
"['model-checkpoints/DenseNet201-Binary-Fold-0-20220311-011123.h5', 'model-checkpoints/DenseNet201-Binary-Fold-1-20220311-012329.h5', 'model-checkpoints/DenseNet201-Binary-Fold-2-20220311-013130.h5', 'model-checkpoints/DenseNet201-Binary-Fold-3-20220311-014116.h5', 'model-checkpoints/DenseNet201-Binary-Fold-4-20220311-015508.h5']",128,0.2,sgd,0.001,224,32,1500,20,5,0.906,0.9059999942779541,0.9052253038583897,0.907,0.9056838235294118,181,19,18,181,987.9808247029956
